,before,special_price,after,name,capcity_GB,RAM,processer,Colour,model,meta_keyword
0,2499,,2173.0435,موتورولا) ايدج),‎سعة 256 جيجابايت‎,‎12 جيجابايت رام‎,‎كوالكوم سناب دراغون 888‎,‎لون رمادي كوزميك‎,Edge 30 Fusion,"موتورولا,موتورولا) ايدج),PAUN0043SA,سعة 256 جيجابايت,لون رمادي كوزميك,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
1,6799,5699.0,4955.6522,سامسونج) جالكسي زد),‎سعة 256 جيجابايت‎,‎12 جيجابايت رام‎,‎كوالكوم سناب دراغون 888 5 جي‎,‎اسود‎,‎جالكسي زد فولد 3‎,"سامسونج,سامسونج) جالكسي زد),SMF926BZKDMEA,سعة 256 جيجابايت,اسود,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
2,6799,5699.0,4955.6522,سامسونج) جالكسي زد),‎سعة 256 جيجابايت‎,‎12 جيجابايت رام‎,‎كوالكوم سناب دراغون 888 5 جي‎,‎اخضر‎,‎جالكسي زد فولد 3‎,"سامسونج,سامسونج) جالكسي زد),SMF926BZGDMEA,سعة 256 جيجابايت,اخضر,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
3,6799,5699.0,4955.6522,سامسونج) جالكسي زد),‎سعة 256 جيجابايت‎,‎12 جيجابايت رام‎,‎فضي‎,,‎جالكسي زد فولد 3‎,"سامسونج,سامسونج) جالكسي زد),SMF926BZSDMEA,سعة 256 جيجابايت,فضي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
4,3999,2899.0,2520.8696,سامسونج) جالكسي زد),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎لون لخزامى‎,,‎جالكسي زد فليب 3‎,"سامسونج,سامسونج) جالكسي زد),SMF711BLVFMEA,سعة 256 جيجابايت,لون لخزامى,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
5,3999,2899.0,2520.8696,سامسونج) جالكسي زد),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎اسود‎,,‎جالكسي زد فليب 3‎,"سامسونج,سامسونج) جالكسي زد),SMF711BZKFMEA,سعة 256 جيجابايت,اسود,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
6,3999,2899.0,2520.8696,سامسونج) جالكسي زد),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كريمي‎,,‎جالكسي زد فليب 3‎,"سامسونج,سامسونج) جالكسي زد),SMF711BZEFMEA,سعة 256 جيجابايت,كريمي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
7,1999,,1738.2609,(Honor) N,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎ كوالكوم سناب دراغون 778 جي بلس‎,‎فضي كريستال‎,70,"هونر,,5109AJBP,سعة 256 جيجابايت,فضي كريستال,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
8,1999,,1738.2609,(Honor) N,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎ كوالكوم سناب دراغون 778 جي بلس‎,‎أسود منتصف الليل‎,70,"هونر,,5109AJBT,سعة 256 جيجابايت,أسود منتصف الليل,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
9,1999,,1738.2609,(Honor) N,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎ كوالكوم سناب دراغون 778 جي بلس‎,‎أبيض ثلجي‎,70,"هونر,,5109AJBR,سعة 256 جيجابايت,أبيض ثلجي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
